TILE_ID,NUMBER,ra,dec,CLASS_STAR,uJAVA,J0378,J0395,J0410,J0430,gSDSS,J0515,rSDSS,J0660,iSDSS,J0861,zSDSS,StellarLoMaR,isTrain,High_confidence,Source,TEFF_SPEC,LOGG_SPEC,FE_H_SPEC,teff_pre,logg_pre,feh_pre,e_teff_pre,e_logg_pre,e_feh_pre
87066,28970,106.258593,33.92149327,0.986,17.2322903,16.8362446,16.7469578,16.0733452,15.9354877,15.4124651,15.214819,14.7700796,14.6865807,14.5235443,14.4230604,14.4212542,0.951660156,0,1,New,,,,4916.099,2.2675426,-0.7551771,89.52714,0.21232335,0.14159907
87066,29128,106.6799821,33.55704447,0.963,16.3102322,16.1287289,15.8465967,14.9685192,14.7098846,14.0686274,13.8329754,13.2782841,13.1844378,13.0015717,12.8894949,12.86866,0.987792969,0,1,New,,,,4688.046,2.7508512,-0.31688747,62.417294,0.17392042,0.09221823
87066,29214,106.1166397,33.55054991,0.995,16.5786591,16.4405022,16.1150703,15.2768631,15.0329723,14.3851624,14.1649294,13.5995588,13.4987402,13.3128023,13.1929417,13.1751022,0.979492188,0,1,New,,,,4685.4424,2.7580342,-0.27896884,70.69076,0.1677439,0.089954615
87066,30591,105.0744435,33.91917612,0.985,16.6671143,16.5165138,16.1104317,15.3020144,14.9978676,14.3459263,14.1282749,13.5467672,13.4467659,13.2824192,13.1672812,13.1539106,0.985839844,0,1,New,,,,4718.8213,3.1706884,-0.052359246,63.95046,0.13598761,0.10258573
87066,30968,105.9809336,33.66925991,0.99,17.595789,17.4267521,16.9121304,15.9048138,15.3515415,14.4813318,14.2743702,13.4450531,13.3129177,13.0976171,12.9382343,12.9086418,0.986816406,0,1,New,,,,4280.834,2.3129916,-0.009742339,84.91273,0.23818585,0.1300405
87066,31390,105.0794234,33.87193501,0.962,17.1490631,16.9733315,16.6550369,15.8934822,15.6495352,15.0417442,14.8248739,14.3119879,14.2253819,14.0569639,13.9499989,13.9351282,0.91796875,0,0,New,,,,4801.308,2.7876763,-0.2676104,75.17362,0.17850474,0.10341658
87066,31661,105.5580673,33.85198911,0.977,15.6760855,15.3699894,15.2149363,14.4948654,14.3194447,13.8037701,13.5979061,13.1343412,13.0521088,12.881649,12.7807522,12.7614508,0.977539063,0,1,New,,,,4913.1333,2.5100567,-0.52154446,72.63177,0.0773973,0.08356235
87066,31873,106.3834569,33.84248561,0.99,15.6282101,15.3817348,15.2321348,14.5357323,14.3695354,13.8829718,13.6843948,13.2562609,13.1806316,13.0390177,12.9603071,12.9516201,0.947265625,0,0,New,,,,4975.9517,2.6956544,-0.5184303,78.81352,0.22071704,0.1210071
87066,31910,105.4759407,33.84258591,0.996,15.5953903,15.3707714,15.1076612,14.2917519,14.0533276,13.4055805,13.1823845,12.6151524,12.5146904,12.3159218,12.1911049,12.1671848,0.984375,0,1,New,,,,4557.154,2.2998118,-0.39902097,95.05974,0.26105806,0.13741845
87066,32443,106.3451096,33.81527673,0.929,16.3672504,16.2193527,15.9603043,15.1105042,14.916708,14.2769861,14.0598917,13.5308132,13.4350157,13.25881,13.1498508,13.1307831,0.979980469,0,1,New,,,,4730.0225,2.4980128,-0.41762456,62.174164,0.11478137,0.07138117
